Year,Division,avg_goal_diff,match_count,global_avg_goal_diff
2000,E1,0.40924092409240925,303,0.439374185136897
2000,F1,0.3756345177664975,197,0.439374185136897
2000,I1,0.3611111111111111,108,0.439374185136897
2000,SP1,0.6289308176100629,159,0.439374185136897
2001,E1,0.39191564147627417,569,0.47285353535353536
2001,F1,0.5474452554744526,274,0.47285353535353536
2001,I1,0.39002932551319647,341,0.47285353535353536
2001,SP1,0.6075,400,0.47285353535353536
2002,E1,0.3234750462107209,541,0.40041208791208793
2002,F1,0.6082089552238806,268,0.40041208791208793
2002,I1,0.3838383838383838,297,0.40041208791208793
2002,SP1,0.3742857142857143,350,0.40041208791208793
2003,E1,0.33589251439539347,521,0.39893617021276595
2003,F1,0.4339622641509434,159,0.39893617021276595
2003,I1,0.4723404255319149,235,0.39893617021276595
2003,SP1,0.4239401496259352,401,0.39893617021276595
2004,E1,0.37014314928425357,489,0.3815789473684211
2004,F1,0.42452830188679247,318,0.3815789473684211
2004,I1,0.3620689655172414,290,0.3815789473684211
2004,SP1,0.3746397694524496,347,0.3815789473684211
2005,E1,0.2838709677419355,465,0.4098151688973869
2005,F1,0.5342105263157895,380,0.4098151688973869
2005,G1,0.6160714285714286,112,0.4098151688973869
2005,I1,0.45016077170418006,311,0.4098151688973869
2005,SP1,0.3289036544850498,301,0.4098151688973869
2006,E1,0.4338235294117647,544,0.3954802259887006
2006,F1,0.40105540897097625,379,0.3954802259887006
2006,G1,0.4475806451612903,248,0.3954802259887006
2006,I1,0.3496143958868895,389,0.3954802259887006
2006,SP1,0.30952380952380953,210,0.3954802259887006
2007,E1,0.274582560296846,539,0.35938425103611604
2007,F1,0.3763157894736842,380,0.35938425103611604
2007,G1,0.4267241379310345,232,0.35938425103611604
2007,I1,0.42391304347826086,368,0.35938425103611604
2007,SP1,0.3588235294117647,170,0.35938425103611604
2008,E1,0.41061946902654867,565,0.43268242548818087
2008,F1,0.3569553805774278,381,0.43268242548818087
2008,G1,0.40725806451612906,248,0.43268242548818087
2008,I1,0.5314136125654451,382,0.43268242548818087
2008,SP1,0.4594594594594595,370,0.43268242548818087
2009,E1,0.29750479846449135,521,0.3496021220159151
2009,F1,0.33421750663129973,377,0.3496021220159151
2009,G1,0.4083333333333333,240,0.3496021220159151
2009,I1,0.3395225464190981,377,0.3496021220159151
2009,SP1,0.41081081081081083,370,0.3496021220159151
2010,E1,0.4567219152854512,543,0.44289405684754524
2010,F1,0.34120734908136485,381,0.44289405684754524
2010,G1,0.3333333333333333,240,0.44289405684754524
2010,I1,0.49606299212598426,381,0.44289405684754524
2010,SP1,0.5384615384615384,390,0.44289405684754524
2011,E1,0.3215547703180212,566,0.4041735310269083
2011,F1,0.42670157068062825,382,0.4041735310269083
2011,G1,0.39166666666666666,120,0.4041735310269083
2011,I1,0.35924932975871315,373,0.4041735310269083
2011,SP1,0.5526315789473685,380,0.4041735310269083
2012,E1,0.20035460992907803,564,0.36839266450916935
2012,F1,0.41842105263157897,380,0.36839266450916935
2012,G1,0.4083333333333333,120,0.36839266450916935
2012,I1,0.3775,400,0.36839266450916935
2012,SP1,0.541025641025641,390,0.36839266450916935
2013,E1,0.3270321361058601,529,0.3982392542723977
2013,F1,0.41160949868073876,379,0.3982392542723977
2013,G1,0.46886446886446886,273,0.3982392542723977
2013,I1,0.3675675675675676,370,0.3982392542723977
2013,SP1,0.4631578947368421,380,0.3982392542723977
2014,E1,0.2884955752212389,565,0.3772819472616633
2014,F1,0.3473684210526316,380,0.3772819472616633
2014,G1,0.5590277777777778,288,0.3772819472616633
2014,I1,0.28378378378378377,370,0.3772819472616633
2014,SP1,0.4959349593495935,369,0.3772819472616633
2015,E1,0.27223230490018147,551,0.3598200899550225
2015,F1,0.27034120734908135,381,0.3598200899550225
2015,G1,0.5137931034482759,290,0.3598200899550225
2015,I1,0.37532133676092544,389,0.3598200899550225
2015,SP1,0.441025641025641,390,0.3598200899550225
2016,E1,0.29038112522686027,551,0.4017857142857143
2016,F1,0.47354497354497355,378,0.4017857142857143
2016,G1,0.49074074074074076,216,0.4017857142857143
2016,I1,0.37017994858611825,389,0.4017857142857143
2016,SP1,0.4756756756756757,370,0.4017857142857143
2017,E1,0.3568904593639576,566,0.36596385542168675
2017,F1,0.4005235602094241,382,0.36596385542168675
2017,G1,0.4810606060606061,264,0.36596385542168675
2017,I1,0.2641025641025641,390,0.36596385542168675
2017,SP1,0.36923076923076925,390,0.36596385542168675
2018,E1,0.27898550724637683,552,0.3289817232375979
2018,F1,0.3143631436314363,369,0.3289817232375979
2018,G1,0.5043103448275862,232,0.3289817232375979
2018,I1,0.2931937172774869,382,0.3289817232375979
2018,SP1,0.3447368421052632,380,0.3289817232375979
2019,E1,0.3720508166969147,551,0.3993775933609959
2019,F1,0.5077319587628866,388,0.3993775933609959
2019,G1,0.4811715481171548,239,0.3993775933609959
2019,I1,0.2116991643454039,359,0.3993775933609959
2019,SP1,0.45268542199488493,391,0.3993775933609959
2020,E1,0.12475633528265107,513,0.1803666469544648
2020,F1,0.1076923076923077,260,0.1803666469544648
2020,G1,0.2757009345794392,214,0.1803666469544648
2020,I1,0.15759312320916904,349,0.1803666469544648
2020,SP1,0.27887323943661974,355,0.1803666469544648
2021,E1,0.225130890052356,573,0.21673923560716013
2021,F1,0.1625,400,0.21673923560716013
2021,G1,0.171875,256,0.21673923560716013
2021,I1,0.24361948955916474,431,0.21673923560716013
2021,SP1,0.257985257985258,407,0.21673923560716013
2022,E1,0.2759226713532513,569,0.2711670480549199
